table_type,table_catalog,table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,full_data_type,data_type,character_maximum_length,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision,interval_type,interval_precision,maximum_cardinality,is_identity,identity_generation,identity_start,identity_increment,identity_maximum,identity_minimum,identity_cycle,is_generated,generation_expression,is_system_time_period_start,is_system_time_period_end,system_time_period_timestamp_generation,is_updatable,partition_index,comment
MANAGED,non_published_domain,customer_sales_order,sales_order_header,supplier_agent_nm,105,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,usage_cd,106,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,controlling_area_currency_cd,107,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,exchange_rate,108,,YES,"decimal(18,5)",DECIMAL,,,18,10,5,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,exchange_rate_type_cd,109,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,local_currency_cd,110,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,sales_organization_currency_cd,111,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_document_released_credit_amt,112,,YES,"decimal(18,5)",DECIMAL,,,18,10,5,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_document_released_credit_amt_currency_cd,113,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_document_released_credit_amt_usd,114,,YES,"decimal(18,5)",DECIMAL,,,18,10,5,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_header_confirmed_net_amt,115,,YES,"decimal(18,5)",DECIMAL,,,18,10,5,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_header_confirmed_net_amt_currency_cd,116,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_header_confirmed_net_amt_usd,117,,YES,"decimal(18,5)",DECIMAL,,,18,10,5,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,statistics_currency_cd,118,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,trading_company_currency_cd,119,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,transaction_currency_cd,120,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,aa_booking_cancellation_ind,121,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,assignment_nbr,122,,YES,int,INT,,,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,billing_dt,123,,YES,date,DATE,,,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,carrier_shipment_status_cd,124,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,contract_customer_required_dt,125,,YES,date,DATE,,,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,delivery_completed_ind,126,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,quality_cd,127,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,sales_contract_follow_up_action_txt,128,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,contract_manual_completion_ind,129,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,cost_center_nbr,130,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,customer_department_nm,131,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,customer_group_10_cd,132,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,customer_group_6_cd,133,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,customer_group_7_cd,134,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,customer_group_8_cd,135,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,customer_group_9_cd,136,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,customer_requested_shipment_method_cd,137,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,delivery_overall_block_status_cd,138,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,exchange_rate_cd,139,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,financial_document_nbr,140,,YES,int,INT,,,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,incoterms_location_2_txt,141,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,incoterms_transfer_location_txt,142,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,internal_contract_open_reference_ind,143,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,internal_order_reference_nbr,144,,YES,int,INT,,,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,last_changed_by_user_id,145,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,node_cd,146,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,node_type_cd,147,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
